"Column1","Column2"
"Incl. Tax","Inkl. moms"
"The cart was updated (from another location), page will be reloaded.","Varukorgen uppdaterad, kassan kommer att laddas om."
"The requested changes were not applied. The cart was updated (from another location), please review the cart.","Ändringarna applicerades inte. Varukorgen uppdaterades, var god granska varukorgen."
"Cannot initialize Nets Easy Checkout (%1)","Kan inte ladda Nets Easy Checkout (%1)"
"Nets Easy Checkout","Nets Easy Checkout"
"We can't update your Country / postal code.","Vi kan inte uppdatera ditt land / postnummer."
"Coupon code is not valid (or missing)","Rabattkoden är inte giltig (eller saknas)"
"Coupon code ""%1"" was applied.","Rabattkoden ""%1"" applicerades."
"Coupon code ""%1"" is not valid.","Rabattkoden  ""%1"" är inte giltig."
"Coupon code was canceled.","Rabattkoden blev avbruten."
"We can't apply your coupon.","Vi kan inte applicera din rabattkod."
"We can't update your subscription.","Vi kan inte uppdatera din prenumeration."
"We can't update shipping method.","Vi kan inte uppdatera ditt fraktsätt."
"Cannot update checkout (%1)","Kan inte uppdatera kassan (%1)"
"Cannot initialize Dibs Checkout (%1)","Kan inte ladda Nets Checkout (%1)"
"No country set, change to %1","Inget land är valt, ändra till %1"
"Wrong country set %1, change to %2","Fel land valt %1, ändra till %2"
"Nets Easy checkout is not available for %1, country was changed to %2.","Nets Easy Checkout är inte tillgänglig för %1, land ändrades till %2."
"Checkout was reloaded.","Kassan laddades om."
"No shipping method","Inget fraktalternativ"
"The Nets Easy Checkout is not enabled, please use an alternative checkout method.","Nets Easy Checkout är inte aktiverad, var god använd en annan kassa."
"The Nets Easy Checkout is NOT available (no allowed country), please use an alternative checkout method.","Nets Easy Checkout är inte tillgänglig för valda länder, var god använd en annan kassa."
"There are no items in your cart.","Det finns inga varor i varukorgen."
"The cart contains errors.","Varukorgen innehåller fel."
"Subtotal must exceed minimum order amount.","Delsumma måste överstiga minimum ordervärde."
"Country is not set.","Land är inte valt."
"Invalid country (%1)","Felaktigt land (%1)"
"Order %1, cannot create customer [%2]: %3","Order %1, kan inte skapa [%2]: %3"
"Shipping Fee (%1)","Fraktavgift (%1)"
"The grand total price does not match the price being sent to Dibs.","Totalsumman stämmer inte överens med summan som skickas till Nets."
"Empty Cart","Tom varukorg"
"Cart has errors, cannot checkout.","Varukorgen innehåller fel, kan inte skapa beställning."
"Authorize action is not available.","Reservation är inte tillgänglig."
"Authorized amount of %1.","Reserverade summan %1."
"Capture action is not available.","Debitering är inte tillgänglig."
"Refund action is not available.","Återbetalning är inte tillgänglig."
"Void action is not available.","Ogiltig handling är inte tillgänglig."
"Detach is not available.","Frånskilj är inte tillgänglig."
"Dibs Payment ID","Nets Betalnings ID"
